ts,pid,index,am,am_source,elapsed_source,phase,intra_pct,intra_source,pct,elapsed_s,eta_s,weight_basis,risk,eta_basis
1787765882297,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",40.16,view-counter,40.16,21.7,83.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765882823,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",40.60,view-counter,40.60,22.3,83.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765883351,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",40.95,view-counter,40.95,22.8,82.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765883878,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",41.28,view-counter,41.28,23.3,82.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765884405,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",41.73,view-counter,41.73,23.9,81.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765884934,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",42.06,view-counter,42.06,24.4,81.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765885461,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",42.40,view-counter,42.40,24.9,80.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765885988,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",42.73,view-counter,42.73,25.4,80.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765886515,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",43.17,view-counter,43.17,26.0,79.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765887044,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",43.51,view-counter,43.51,26.5,79.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765887571,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",43.84,view-counter,43.84,27.0,78.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765888098,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",44.29,view-counter,44.29,27.5,78.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765888626,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",44.61,view-counter,44.61,28.1,77.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765889154,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",44.94,view-counter,44.94,28.6,77.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765889681,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",45.38,view-counter,45.38,29.1,76.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765890217,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",45.72,view-counter,45.72,29.7,76.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765890752,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",46.08,view-counter,46.08,30.2,75.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765891287,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",46.78,view-counter,46.78,30.7,75.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765891821,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",47.15,view-counter,47.15,31.3,74.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765892359,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",47.64,view-counter,47.64,31.8,73.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765892895,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",48.22,view-counter,48.22,32.3,73.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765893430,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",48.59,view-counter,48.59,32.9,72.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765893966,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",49.06,view-counter,49.06,33.4,72.0,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765894501,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",49.43,view-counter,49.43,33.9,71.4,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765895036,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",50.02,view-counter,50.02,34.5,70.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765895572,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",50.50,view-counter,50.50,35.0,70.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765896108,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",50.89,view-counter,50.89,35.6,69.4,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765896642,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",51.49,view-counter,51.49,36.1,68.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765897176,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",51.97,view-counter,51.97,36.6,67.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765897711,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",52.57,view-counter,52.57,37.2,67.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765898246,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",52.83,view-counter,52.83,37.7,66.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765898781,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",53.19,view-counter,53.19,38.2,65.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765899315,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",53.56,view-counter,53.56,38.8,65.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765899851,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",54.04,view-counter,54.04,39.3,64.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765900386,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",54.39,view-counter,54.39,39.8,64.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765900921,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",54.76,view-counter,54.76,40.4,63.6,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765901455,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",55.12,view-counter,55.12,40.9,63.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765901988,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",55.59,view-counter,55.59,41.4,62.5,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765902523,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",55.95,view-counter,55.95,42.0,62.0,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765903057,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",56.22,view-counter,56.22,42.5,61.4,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765903592,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",56.58,view-counter,56.58,43.0,60.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765904128,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",57.05,view-counter,57.05,43.6,60.4,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765904662,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",57.41,view-counter,57.41,44.1,59.9,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765905197,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",57.77,view-counter,57.77,44.6,59.3,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765905731,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",58.13,view-counter,58.13,45.2,58.8,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765906265,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",58.71,view-counter,58.71,45.7,58.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765906799,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",58.96,view-counter,58.96,46.2,57.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765907334,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",59.32,view-counter,59.32,46.8,57.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765907869,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",59.67,view-counter,59.67,47.3,56.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765908403,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",60.03,view-counter,60.03,47.8,56.2,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765908938,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",60.50,view-counter,60.50,48.4,55.7,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
1787765909472,6219,(building oid=0),hnsw,phase+counters,pg_stat_activity.query_start,"building index: loading tuples",60.87,view-counter,60.87,48.9,55.1,"单阶段访问方法：百分比即阶段内视图计数，不需要跨阶段权重","⚠ 预测会降级落盘","已按降级修正（减速倍数 4.031，预测第 68275 行降级）"
